ProduitID;Produit;categorieProduit;Marque;Taille;CodeProduit;Magasin
486622;Boisson énergétique SHARK 25cl;boissons;SHARK;La canette de 25cl;C-7987;Carrefour
486623;Sirop de vanille;boissons;MONIN;La bouteille de 1L;C-8071;Carrefour
486624;COCA COLA;boissons;COCA COLA;La bouteille de 30cl;C-8159;Carrefour
486625;Eau minérale JEKTISS 1L;boissons;JEKTISS;La bouteille de 1L;C-8239;Carrefour
486626;Grain d'Or dattes;epicerie_sale;GRAIN D'OR;Le paquet de 250g;C-7962;Carrefour
486627;Poivre noir moulu;epicerie_sale;EL DHAWAKA;La boite de 50g;C-8044;Carrefour
486628;Champignons des bois Chanterelles;epicerie_sale;SOMBRERO;Le pot de 330g;C-8126;Carrefour
486629;Amande rouge Beldi;epicerie_sale;DEZ'Y;Au Kg;C-8209;Carrefour
486630;Lasagnes Barilla;epicerie_sale;BARILLA;Le paquet de 500 g
Temps de cuisson : 20 minutes;C-8291;Carrefour
486631;Cœur d'artichauts marinés;epicerie_sale;KEN YA MA KEN;La boite de 200g;C-8369;Carrefour
486632;Romarin;epicerie_sale;El KHABIA;Le sachet de 50g;C-8447;Carrefour
486633;Mais doux;epicerie_sale;MAMI GARDEN;La boite de 185g;C-8526;Carrefour
486634;Harissa du Cap Bon;epicerie_sale;BNINA;La boite de 135g;C-8607;Carrefour
486635;Tagliatelle n°2;epicerie_sale;RANDA;Le paquet de 250g;C-8690;Carrefour
486636;Cavatoni;epicerie_sale;L'EPI D'OR;Le paquet de 500g;C-8773;Carrefour
486637;Pâtes artisanales Rigatoni L’EPI D'OR;epicerie_sale;L'EPI D'OR;Le paquet de 500 g
Temps de cuisson : 12 minutes;C-8857;Carrefour
486638;Champignons de Paris pieds & morceaux;epicerie_sale;SICAM;La boite de 400g;C-8934;Carrefour
486639;Thon entier à l'huile végétale;epicerie_sale;EL BADR;La boite de 400g;C-9010;Carrefour
486640;Pommes chips au fromage;epicerie_sale;GOLDEN CHIPS;Le sachet de 15g;C-9086;Carrefour
486641;Lot de 3 boites de thon en morceaux à l' huile de tournesol;epicerie_sale;EL MANAR;Les 3 boites de 160g;C-9163;Carrefour
