Reservation_PK,ClientID_FK,Hotel_FK,Flight_FK,Localisation_FK,Temps_FK,Total_Prix,Status_Reservation,Méthode_Paiement,Note_Client
12501,2017868,1861,0,6992049,413,1451,96,-1,PayPal,1
12502,2017869,0,0,6992049,1325,1220,8800000000001,1,Carte bancaire,4
12503,2017870,1883,0,6992036,170,1636,7,-1,Espèces,5
12504,2017871,0,0,6992036,385,880,08000000000004,-1,Carte bancaire,5
12505,2017872,0,0,0,439,197,58000000000001,0,Espèces,1
12506,2017873,1877,0,6992036,1617,6572,6899999999996,1,Espèces,1
12507,2017874,1876,0,6992036,971,1370,8599999999999,1,Espèces,1
12508,2017875,1883,0,6992036,486,803,10000000000002,-1,Espèces,1
12509,2017876,1860,0,6992049,826,1669,45,0,Carte bancaire,5
12510,2017877,0,0,6992036,1782,5565,29,-1,PayPal,5
12511,2017878,1877,0,6992036,643,2174,4299999999998,0,Espèces,2
12512,2017879,1860,0,6992049,1717,5450,0299999999997,0,Virement bancaire,3
12513,2017880,0,0,0,1265,2972,8000000000002,1,Carte bancaire,5
12514,2017881,1861,0,6992049,1687,2576,9699999999998,1,Virement bancaire,1
12515,2017882,1883,0,6992036,705,6251,1099999999997,-1,Virement bancaire,1
12516,2017883,1857,0,6992049,7,4974,7200000000003,-1,Carte bancaire,2
12517,2017884,1876,0,6992036,1712,6872,6000000000004,-1,Espèces,4
12518,2017885,0,0,6992049,408,3977,6900000000001,1,PayPal,1
12519,2017886,1861,0,6992049,1459,2614,3299999999999,-1,Espèces,2
12520,2017887,1869,0,6992036,438,4505,7600000000002,1,PayPal,3
12521,2017888,1877,0,6992036,795,1877,9100000000001,0,Virement bancaire,5
12522,2017889,0,0,6992036,960,1769,8399999999999,0,Espèces,2
12523,2017890,0,176,0,490,3497,4000000000001,1,Virement bancaire,4
12524,2017891,0,158,0,808,4653,75,0,PayPal,4
12525,2017892,0,155,0,1673,1320,3,-1,Carte bancaire,3
12526,2017893,0,43,0,1580,5788,3599999999997,1,PayPal,4
12527,2017894,0,0,0,523,5931,8699999999999,-1,PayPal,2
12528,2017895,0,133,0,2,6743,1300000000001,0,Virement bancaire,4
12529,2017896,0,163,0,65,6509,75,0,Carte bancaire,5
12530,2017897,0,154,0,43,900,22000000000003,1,Carte bancaire,3
12531,2017898,0,176,0,1048,509,19,1,Espèces,4
12532,2017899,0,176,0,1697,913,01999999999998,-1,Espèces,1
12533,2017900,0,133,0,1720,2257,0599999999999,1,Virement bancaire,1
12534,2017901,0,176,0,346,5475,96,-1,Espèces,4
12535,2017902,0,176,0,1451,5535,7700000000004,1,Carte bancaire,2
12536,2017903,0,159,0,1522,1256,1400000000001,1,PayPal,1
12537,2017904,0,0,0,529,5112,5699999999997,0,Virement bancaire,3
12538,2017905,0,43,0,1630,6445,0200000000004,1,Carte bancaire,5
12539,2017906,0,155,0,1151,5637,0299999999997,-1,PayPal,5
12540,2017907,0,157,0,1175,4409,8100000000004,-1,Virement bancaire,5
12541,2017908,0,157,0,119,3995,3200000000002,-1,PayPal,3
12542,2017909,0,158,0,1628,5646,9300000000003,-1,PayPal,3
12543,2017910,0,176,0,953,6959,4499999999998,1,Virement bancaire,4
12544,2017911,0,163,0,1648,3088,3600000000001,1,PayPal,2
12545,2017912,0,0,0,673,6539,8100000000004,-1,Espèces,3
12546,2017911,0,176,0,1329,5427,5500000000002,-1,Virement bancaire,4
12547,2017913,0,158,0,1472,1401,26,-1,PayPal,4
12548,2017914,0,154,0,268,2733,1100000000001,1,Carte bancaire,1
12549,2017915,0,158,0,1465,4447,1899999999996,1,Carte bancaire,1
12550,2017916,0,158,0,763,732,50999999999999,1,Virement bancaire,3
12551,2017917,0,133,0,590,6948,7200000000003,-1,Espèces,4
12552,2017918,0,159,0,1001,3817,73,1,Virement bancaire,1
12553,2017919,0,159,0,917,5439,8199999999997,1,PayPal,3
12554,2017920,0,155,0,1165,2662,1599999999999,1,PayPal,1
12555,2017921,0,176,0,1012,4248,6099999999997,-1,PayPal,5
12556,2017922,0,176,0,816,581,14999999999998,-1,Virement bancaire,2
12557,2017923,0,159,0,1387,1502,54,-1,Espèces,3
12558,2017924,0,158,0,1258,5320,0900000000001,-1,Carte bancaire,5
12559,2017925,0,157,0,756,7496,1199999999999,1,PayPal,4
12560,2017926,0,157,0,557,6803,8100000000004,-1,PayPal,1
12561,2017927,0,157,0,1070,3185,7199999999998,1,PayPal,4
12562,2017928,0,154,0,1607,398,37,0,Carte bancaire,4
12563,2017929,0,154,0,1770,3816,3699999999999,-1,PayPal,5
12564,2017930,0,158,0,1303,7315,4799999999996,-1,Carte bancaire,5
12565,2017931,0,159,0,1593,2149,7800000000002,-1,Espèces,4
12566,2017932,0,154,0,869,4720,9799999999996,0,Espèces,2
12567,2017933,0,155,0,408,6837,1700000000001,1,PayPal,5
12568,2017934,0,157,0,372,3952,1100000000001,1,Espèces,2
12569,2017935,0,155,0,1113,6706,4200000000001,0,PayPal,5
12570,2017936,0,158,0,448,7489,4899999999998,-1,Virement bancaire,2
12571,2017937,0,157,0,1134,1078,8,-1,PayPal,5
12572,2017938,0,176,0,1241,3593,46,0,Virement bancaire,2
12573,2017939,0,0,0,561,3786,0599999999999,-1,Espèces,2
12574,2017940,0,158,0,1635,6912,0799999999999,1,Espèces,2
12575,2017941,0,176,0,291,1729,22,-1,Espèces,4
12576,2017942,0,154,0,153,3301,3899999999999,-1,Carte bancaire,4
12577,2017943,0,159,0,263,5514,4300000000003,0,Virement bancaire,5
12578,2017944,0,154,0,1667,1122,7,1,Virement bancaire,1
12579,2017945,0,158,0,1063,1790,46,-1,Virement bancaire,4
12580,2017946,0,43,0,290,1140,5699999999999,0,Espèces,1
12581,2017947,0,158,0,624,540,24000000000001,0,Espèces,1
12582,2017948,0,0,0,387,209,49000000000001,1,PayPal,4
12583,2017949,0,157,0,1385,4498,3500000000004,-1,Espèces,3
12584,2017950,0,133,0,154,461,25,0,Virement bancaire,4
12585,2017951,0,176,0,1402,1429,45,1,PayPal,5
12586,2017952,0,43,0,226,322,93000000000001,1,Virement bancaire,1
12587,2017953,0,43,0,14,4230,9799999999996,1,Espèces,5
12588,2017954,0,159,0,148,4485,5299999999997,-1,Espèces,2
12589,2017955,0,176,0,196,6498,2700000000004,-1,Carte bancaire,3
12590,2017956,0,163,0,1044,3404,75,0,Virement bancaire,1
12591,2017957,0,0,0,458,6169,9399999999996,1,Carte bancaire,2
12592,2017958,0,158,0,615,7103,1099999999997,0,Carte bancaire,1
12593,2017959,0,43,0,1177,7010,3999999999996,1,Espèces,4
12594,2017960,0,43,0,475,1227,6300000000001,-1,Virement bancaire,5
12595,2017961,0,157,0,1353,3254,0799999999999,-1,Virement bancaire,4
12596,2017962,0,176,0,1090,1355,54,1,Virement bancaire,2
12597,2017963,0,43,0,1645,2189,04,-1,Espèces,2
12598,2017964,0,176,0,914,586,13999999999999,0,PayPal,3
12599,2017965,0,0,0,1561,7263,4700000000003,0,PayPal,4
12600,2017966,0,176,0,1725,3017,4899999999998,1,Espèces,3
12601,2017967,0,43,0,858,5266,9099999999999,1,Virement bancaire,2
12602,2017968,0,155,0,53,2437,71,0,Espèces,2
12603,2017969,0,176,0,1315,650,04999999999995,0,Carte bancaire,5
12604,2017970,0,176,0,760,2295,6399999999999,1,Carte bancaire,2
12605,2017971,0,163,0,764,3216,1799999999998,1,Espèces,3
12606,2017972,0,176,0,1417,5979,8999999999996,-1,Carte bancaire,5
12607,2017973,0,159,0,530,2508,0799999999999,-1,Espèces,1
12608,2017974,0,154,0,260,6993,1000000000004,-1,Espèces,2
12609,2017975,0,157,0,90,1875,0799999999999,0,Carte bancaire,1
12610,2017976,0,176,0,1559,669,97000000000003,1,Espèces,5
12611,2017977,0,163,0,153,3447,4299999999998,1,Carte bancaire,2
12612,2017978,0,157,0,1698,3907,9000000000001,0,Espèces,2
12613,2017979,0,159,0,1243,3095,7399999999998,1,Espèces,4
12614,2017980,0,0,0,638,2203,6999999999998,0,Carte bancaire,3
12615,2017981,0,155,0,1740,5577,8500000000004,0,Carte bancaire,4
